0 0 0.000000
0 1 0.180000
0 2 0.719998
0 3 1.619978
0 4 2.879877
0 5 4.499531
0 6 6.478600
0 7 8.816471
0 8 11.512137
0 9 14.564062
0 10 17.970015
0 11 21.726892
0 12 25.830513
0 13 30.275402
0 14 35.054547
0 15 40.159145
0 16 45.578330
0 17 51.298891
0 18 57.304976
0 19 63.577792
0 20 70.095302
0 21 76.831921
0 22 83.758221
0 23 90.840651
0 24 98.041268
0 25 105.317509
0 26 112.621988
0 27 119.902343
0 28 127.101139
0 29 134.155838
0 30 140.998844
0 31 147.557642
0 32 153.755039
0 33 159.509517
0 34 164.735716
0 35 169.345051
0 36 173.246487
0 37 176.347462
0 38 178.554980
0 39 179.776875
0 40 179.923249
0 41 178.908069
0 42 176.650948
0 43 173.079056
0 44 168.129187
0 45 161.749926
0 46 153.903903
0 47 144.570100
0 48 133.746147
0 49 121.450581
0 50 107.724986
0 51 92.635961
0 52 76.276833
0 53 58.769045
0 54 40.263127
0 55 20.939162
0 56 1.006672
0 57 -19.296171
0 58 -39.704096
0 59 -59.927095
0 60 -79.653680
0 61 -98.555059
0 62 -116.290271
0 63 -132.512251
0 64 -146.874830
0 65 -159.040559
0 66 -168.689302
0 67 -175.527409
0 68 -179.297323
0 69 -179.787369
0 70 -176.841470
0 71 -170.368474
0 72 -160.350754
0 73 -146.851721
0 74 -130.021845
0 75 -110.102805
0 76 -87.429386
0 77 -62.428744
0 78 -35.616746
0 79 -7.591103
0 80 20.978857
0 81 49.365862
0 82 76.801755
0 83 102.497755
0 84 125.667572
0 85 145.552870
0 86 161.450410
0 87 172.740027
0 88 178.912461
0 89 179.595920
0 90 174.580166
0 91 163.836839
0 92 147.534749
0 93 126.048898
0 94 99.962130
0 95 70.058488
0 96 37.307619
0 97 2.839915
0 98 -32.087543
0 99 -66.133687
0 100 0.000000
0 101 1.799970
0 102 3.599760
0 103 5.399190
0 104 7.198080
0 105 8.996250
0 106 10.793521
0 107 12.589713
0 108 14.384645
0 109 16.178139
0 110 17.970015
0 111 19.760094
0 112 21.548197
0 113 23.334146
0 114 25.117761
0 115 26.898864
0 116 28.677277
0 117 30.452823
0 118 32.225323
0 119 33.994601
0 120 35.760480
0 121 37.522782
0 122 39.281332
0 123 41.035954
0 124 42.786473
0 125 44.532713
0 126 46.274499
0 127 48.011659
0 128 49.744017
0 129 51.471401
0 130 53.193637
0 131 54.910555
0 132 56.621981
0 133 58.327745
0 134 60.027677
0 135 61.721605
0 136 63.409362
0 137 65.090778
0 138 66.765684
0 139 68.433915
0 140 70.095302
0 141 71.749679
0 142 73.396882
0 143 75.036744
0 144 76.669104
0 145 78.293796
0 146 79.910659
0 147 81.519531
0 148 83.120252
0 149 84.712660
0 150 86.296597
0 151 87.871904
0 152 89.438425
0 153 90.996001
0 154 92.544478
0 155 94.083701
0 156 95.613516
0 157 97.133769
0 158 98.644309
0 159 100.144984
0 160 101.635645
0 161 103.116143
0 162 104.586329
0 163 106.046056
0 164 107.495179
0 165 108.933553
0 166 110.361033
0 167 111.777478
0 168 113.182744
0 169 114.576693
0 170 115.959184
0 171 117.330079
0 172 118.689241
0 173 120.036534
0 174 121.371824
0 175 122.694977
0 176 124.005860
0 177 125.304343
0 178 126.590295
0 179 127.863589
0 180 129.124096
0 181 130.371691
0 182 131.606249
0 183 132.827647
0 184 134.035762
0 185 135.230473
0 186 136.411661
0 187 137.579209
0 188 138.732998
0 189 139.872915
0 190 140.998844
0 191 142.110673
0 192 143.208292
0 193 144.291589
0 194 145.360458
0 195 146.414791
0 196 147.454482
0 197 148.479428
0 198 149.489527
0 199 150.484676
1 0 0.180000
1 1 0.360000
1 2 0.899996
1 3 1.799970
1 4 3.059853
1 5 4.679473
1 6 6.658481
1 7 8.996250
1 8 11.691763
1 9 14.743465
1 10 18.149107
1 11 21.905565
1 12 26.008637
1 13 30.452823
1 14 35.231083
1 15 40.334588
1 16 45.752441
1 17 51.471401
1 18 57.475581
1 19 63.746158
1 20 70.261058
1 21 76.994661
1 22 83.917505
1 23 90.996001
1 24 98.192176
1 25 105.463430
1 26 112.762346
1 27 120.036534
1 28 127.228533
1 29 134.275780
1 30 141.110663
1 31 147.660654
1 32 153.848554
1 33 159.592845
1 34 164.808174
1 35 169.405977
1 36 173.295244
1 37 176.383451
1 38 178.577653
1 39 179.785745
1 40 179.917903
1 41 178.888183
1 42 176.616299
1 43 173.029537
1 44 168.064818
1 45 161.670871
1 46 153.810480
1 47 144.462792
1 48 133.625614
1 49 121.317668
1 50 107.580726
1 51 92.481582
1 52 76.113755
1 53 58.598880
1 54 40.087668
1 55 20.760373
1 56 0.826675
1 57 -19.475124
1 58 -39.879643
1 59 -60.096797
1 60 -79.815056
1 61 -98.705632
1 62 -116.427604
1 63 -132.634007
1 64 -146.978813
1 65 -159.124777
1 66 -168.752018
1 67 -175.567197
1 68 -179.313122
1 69 -179.778533
1 70 -176.807810
1 71 -170.310297
1 72 -160.268896
1 73 -146.747559
1 74 -129.897304
1 75 -109.960351
1 76 -87.272001
1 77 -62.259886
1 78 -35.440287
1 79 -7.411260
1 80 21.157620
1 81 49.538936
1 82 76.964510
1 83 102.645671
1 84 125.796380
1 85 145.658695
1 86 161.529914
1 87 172.790546
1 88 178.932128
1 89 179.583776
1 90 174.536241
1 91 163.762209
1 92 147.431557
1 93 125.920337
1 94 99.812388
1 95 69.892646
1 96 37.131510
1 97 2.659936
1 98 -32.264644
1 99 -66.301065
1 100 1.799970
1 101 2.545500
1 102 4.024587
1 103 5.691151
1 104 7.419488
